country,name,count
AE,"Khan",252508
AE,"Ali",141967
AE,"Kumar",116878
AE,"Singh",82250
AE,"Ahmed",62904
AE,"Hussain",42262
AE,"Ahmad",40995
AE,"Islam",29588
AE,"Yadav",28185
AE,"Alam",27225
AE,"Uddin",22970
AE,"Hossain",22808
AE,"Rahman",20743
AE,"Mohammed",20279
AE,"Ullah",20229
AE,"Shah",18857
AE,"Sharma",16731
AE,"Malik",16442
AE,"Ansari",16392
AE,"Raj",14415
AE,"Mohamed",14389
AE,"Muhammad",14283
AE,"Hassan",14007
AE,"Iqbal",13970
AE,"Baloch",13527
AE,"Miah",13212
AE,"Abbas",12457
AE,"Jan",12040
AE,"Rana",11647
AE,"Ram",11585
AE,"محمد",10801
AE,"Mohammad",10456
AE,"Raja",10374
AE,"Chauhan",10207
AE,"Babu",10121
AE,"Das",9693
AE,"Shaikh",9362
AE,"Ibrahim",9144
AE,"Jutt",8583
AE,"Saeed",8506
AE,"Hasan",8361
AE,"Gujjar",8297
AE,"Lal",8226
AE,"Raza",8050
AE,"البلوشي",7801
AE,"Afridi",7786
AE,"Rehman",7783
AE,"Prasad",7755
AE,"Butt",7661
AE,"Gupta",7658
AE,"Rai",7320
AE,"Thomas",7239
AE,"Mia",7215
AE,"Nair",7215
AE,"Imran",7116
AE,"Patel",6824
AE,"Love",6669
AE,"Thapa",6647
AE,"Mohd",6561
AE,"Gul",6353
AE,"Amin",6337
AE,"Abdullah",6131
AE,"Noor",6043
AE,"Mehmood",6032
AE,"Mughal",5999
AE,"Raju",5923
AE,"Joseph",5907
AE,"Nawaz",5881
AE,"Rashid",5849
AE,"Ismail",5848
AE,"Ch",5739
AE,"Kamal",5650
AE,"Shahzad",5549
AE,"Saleem",5549
AE,"Ashraf",5511
AE,"Asif",5495
AE,"احمد",5463
AE,"Khalid",5384
AE,"John",5368
AE,"Gurung",5343
AE,"Magar",5336
AE,"Awan",5308
AE,"Muhammed",5251
AE,"Jaan",5221
AE,"Abdulla",5198
AE,"Sk",5150
AE,"Mathew",5150
AE,"Tamang",5150
AE,"Lama",5143
AE,"Jamal",4995
AE,"Aslam",4941
AE,"Zaman",4929
AE,"Mahmood",4916
AE,"Arif",4912
AE,"George",4910
AE,"Hameed",4908
AE,"Aziz",4843
AE,"Salim",4768
AE,"Bhatti",4707
AE,"Abbasi",4679
AE,"Anwar",4675
AE,"Gill",4640
AE,"Varghese",4568
AE,"Ahamed",4533
AE,"Abdul",4533
AE,"Wazir",4521
AE,"Alshamsi",4517
AE,"Akhtar",4450
AE,"Chaudhary",4406
AE,"Shrestha",4390
AE,"Usman",4330
AE,"علي",4289
AE,"Sheikh",4281
AE,"Mani",4245
AE,"Shahid",4195
AE,"Salam",4185
AE,"Krishnan",4161
AE,"Reddy",4148
AE,"Karim",4147
AE,"Husain",4129
AE,"Akbar",4129
AE,"Nasir",4110
AE,"Salem",4089
AE,"Sultan",4067
AE,"Farooq",4043
AE,"Alkaabi",3990
AE,"Nadeem",3968
AE,"King",3967
AE,"Pal",3952
AE,"Bilal",3949
AE,"Bhai",3912
AE,"Akram",3907
AE,"الشامسي",3885
AE,"Javed",3839
AE,"Arshad",3828
AE,"Dsouza",3804
AE,"Sha",3792
AE,"Irfan",3782
AE,"الشحي",3751
AE,"Rao",3732
AE,"Rasheed",3713
AE,"Miya",3699
AE,"Kp",3692
AE,"Rahim",3651
AE,"Mustafa",3636
AE,"المنصوري",3614
AE,"الكعبي",3581
AE,"Pk",3567
AE,"الحمادي",3516
AE,"Biswas",3494
AE,"Rajan",3476
AE,"Faruk",3398
AE,"Mondal",3390
AE,"Faisal",3381
AE,"Omar",3356
AE,"Al",3302
AE,"Chand",3292
AE,"Mohan",3254
AE,"Nishad",3233
AE,"Krishna",3233
AE,"Alzaabi",3216
AE,"Alali",3195
AE,"Afzal",3166
AE,"Saif",3145
AE,"Akter",3128
AE,"Alhammadi",3128
AE,"Jani",3127
AE,"Jose",3126
AE,"Amir",3120
AE,"Prince",3115
AE,"Sahani",3093
AE,"Thakur",3090
AE,"Habib",3072
AE,"Sandhu",3053
AE,"Suresh",2994
AE,"Mirza",2992
AE,"Fernandes",2987
AE,"Tariq",2985
AE,"Pandey",2980
AE,"Paul",2979
AE,"Sah",2975
AE,"Kalam",2963
AE,"Saini",2942
AE,"Pillai",2929
AE,"Kumari",2926
AE,"Saab",2910
AE,"Hossen",2900
AE,"Khalil",2886
AE,"Haider",2876
AE,"Qureshi",2869
AE,"Jangir",2861
AE,"Said",2857
AE,"Kc",2845
AE,"Mamun",2838
AE,"Hossin",2836
AE,"Almansoori",2813
AE,"العامري",2799
AE,"Riaz",2778
AE,"Hanif",2776
AE,"Prakash",2776
AE,"Hamza",2760
AE,"Saleh",2754
AE,"Sumon",2740
AE,"Majeed",2737
AE,"عبدالله",2737
AE,"Molla",2721
AE,"Ramesh",2702
AE,"الكتبي",2671
AE,"Sing",2666
AE,"Roy",2643
AE,"Sayed",2642
AE,"Sarkar",2627
AE,"Syed",2619
AE,"Yousuf",2606
AE,"Chandran",2584
AE,"Nath",2580
AE,"Chowdhury",2577
AE,"Kutty",2574
AE,"Hayat",2565
AE,"Basheer",2559
AE,"Miha",2555
AE,"Mahmoud",2534
AE,"Ravi",2533
AE,"Shetty",2527
AE,"Alshehhi",2527
AE,"Karki",2513
AE,"Hamad",2507
AE,"Azam",2489
AE,"Rajput",2486
AE,"Sharif",2473
AE,"Bangash",2449
AE,"Mk",2445
AE,"Hossan",2418
AE,"Khattak",2413
AE,"Kannan",2405
AE,"Sajid",2399
AE,"Rashed",2396
AE,"Baba",2394
AE,"Naeem",2390
AE,"Giri",2382
AE,"Samy",2381
AE,"Kushwaha",2365
AE,"Jee",2358
AE,"Zada",2353
AE,"Zahid",2350
AE,"Naveed",2325
AE,"Antony",2321
AE,"Verma",2318
AE,"Joy",2316
AE,"Shaik",2313
AE,"Rahaman",2307
AE,"Adnan",2304
AE,"Tahir",2300
AE,"Muthu",2287
AE,"Sagar",2276
AE,"Abraham",2271
AE,"Mohamad",2269
AE,"Nayak",2257
AE,"Haque",2240
AE,"Mon",2226
AE,"Rajesh",2225
AE,"Umar",2223
AE,"Tanha",2218
AE,"Ad",2216
AE,"Ramzan",2211
AE,"Murugan",2206
AE,"Hoque",2206
AE,"Rafiq",2206
AE,"Alom",2204
AE,"Cheema",2189
AE,"Osman",2186
AE,"Tiwari",2171
AE,"Cruz",2157
AE,"Rizwan",2156
AE,"Bahadur",2149
AE,"Bashir",2144
AE,"Hamid",2125
AE,"Aktar",2124
AE,"Yousaf",2121
AE,"Kv",2117
AE,"Afghan",2102
AE,"Santos",2101
AE,"Rubel",2090
AE,"Kareem",2087
AE,"النعيمي",2087
AE,"Mandal",2076
AE,"Salman",2049
AE,"Saad",2049
AE,"Alblooshi",2041
AE,"Kader",2017
AE,"Jacob",2017
AE,"Alhosani",2012
AE,"Abid",2011
AE,"Waseem",2005
AE,"Basha",2004
AE,"Waqas",2002
AE,"Sajjad",2001
