Konstrukteur	Fahrer	VORHER woanders	Eigener Konstrukteur	DANACH woanders	F1DB-Befund	Deine Sheet-Notiz	KORREKTUR / ANMERKUNG
Brabham	Jack Brabham	cooper 1955-1961 (40) / maserati 1956 (1)	brabham 1962-1970 (82)	-	kam von woanders, danach Schluss	Konstrukteur bleibt nach Karriereende/Tod bestehen	
Surtees	John Surtees	lotus 1960 (4) / cooper 1961-1966 (15) / lola 1962 (9) / ferrari 1963-1966 (30) / honda 1967-1968 (21) / brm 1969 (10) / mclaren 1970 (4)	surtees 1970-1972 (20)	-	kam von woanders, danach Schluss	Konstrukteur bleibt bestehen	
McLaren	Bruce McLaren	cooper 1958-1965 (64)	mclaren 1966-1970 (37)	-	kam von woanders, danach Schluss	Konstrukteur bleibt bestehen	ANMERKUNG: fuhr 1967 drei Rennen fuer EAGLE, waehrend er McLaren besass.
Aston Martin	Lance Stroll	williams 2017-2018 (41) / racing-point 2019-2020 (37)	aston-martin 2021-2026 (117)	-	kam von woanders, danach Schluss	bleibt bestehen; Sohn des Besitzers	
Shadow	Jackie Oliver	lotus 1967-1968 (11) / brm 1969-1972 (24) / mclaren 1971 (3)	shadow 1973-1977 (14)	-	kam von woanders, danach Schluss	Konstrukteur bleibt bestehen	
Embassy Hill	Graham Hill	lotus 1958-1970 (61) / brm 1960-1966 (64) / brabham 1971-1972 (23) / shadow 1973 (12) / lola 1974-1975 (18)	hill 1975 (1)	-	kam von woanders, danach Schluss		
Fittipaldi	Emerson Fittipaldi	lotus 1970-1973 (43) / mclaren 1974-1975 (29)	fittipaldi 1976-1980 (77)	-	kam von woanders, danach Schluss	beide Fittipaldi - schwierig	
Fittipaldi	Wilson Fittipaldi	brabham 1972-1973 (25)	fittipaldi 1975 (13)	-	kam von woanders, danach Schluss	beide Fittipaldi - schwierig	
Eagle	Dan Gurney	ferrari 1959 (4) / brm 1960 (7) / porsche 1961-1962 (15) / lotus 1962 (1)	eagle 1966-1968 (24)	mclaren 1968-1970 (6)	fuhr DANACH noch woanders		
Merzario	Arturo Merzario	ferrari 1972-1973 (11) / iso-marlboro 1974 (15) / frank-williams-racing-cars 1975 (6) / fittipaldi 1975 (1) / wolf-williams 1976 (7) / march 1976-1977 (14) / shadow 1977 (1)	merzario 1978-1979 (30)	-	kam von woanders, danach Schluss		
