name,found,image_url,license,author,source,wikidata_qid
Rafael Villagómez,True,https://upload.wikimedia.org/wikipedia/commons/5/5a/Euroformula_Open_2021_Spielberg_Nr._8_Villag%C3%B3mez.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q105336890
Josh Mason,True,https://upload.wikimedia.org/wikipedia/commons/f/f6/Euroformula_Open_2021_Spielberg_Nr._21_Mason.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108913723
Kaylen Frederick,True,https://upload.wikimedia.org/wikipedia/commons/5/50/FIA_F3_Austria_2022_Nr._17_Frederick.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q106302249
Caio Collet,True,https://upload.wikimedia.org/wikipedia/commons/6/6c/Caio_Collet%2C_interview.jpg,CC BY 3.0,"<a rel=""nofollow"" class=""external text"" href=""https://www.youtube.com/c/LitoCavalcanti/"">Lito Cavalcanti on YouTube</a>",wikidata_P18,Q85844001
Joshua Dufek,True,https://upload.wikimedia.org/wikipedia/commons/e/e7/Youtube_Joshua_Dufek_Mugello_Race_1_Euroformula_Open_2023.jpg,CC BY 3.0,@EuroFormulaOpen via Youtube,wikidata_P18,Q115585044
Luke Browning,True,https://upload.wikimedia.org/wikipedia/commons/f/f0/Luke_Browning.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:TeV1767"" title=""User:TeV1767"">Tom Evans Photography </a>",wikidata_P18,Q108545692
Piotr Wiśnicki,True,https://upload.wikimedia.org/wikipedia/commons/d/dc/FREC_2022_Spielberg_Nr._21_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q114642549
Michael Shin,True,https://upload.wikimedia.org/wikipedia/commons/7/7d/Euroformula_Open_2025_-_Red_Bull_Ring_-_Michael_Shin.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Road_Atlanta_Turn_5"" title=""User:Road Atlanta Turn 5"">Road Atlanta Turn 5</a>",wikidata_P18,Q116301251
Roman Bilinski,True,https://upload.wikimedia.org/wikipedia/commons/2/28/Screenshot_MocMarzen_Roman_Bilinski_video_2025.jpg,CC BY 4.0,@MocMarzen Via Youtube,wikidata_P18,Q108006520
Jehan Daruvala,True,https://upload.wikimedia.org/wikipedia/commons/8/8b/Jehan_Daruvala_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q27899139
Juan Manuel Correa,True,https://upload.wikimedia.org/wikipedia/commons/5/57/Juan_Manuel_Correa_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q27924791
Clément Novalak,True,https://upload.wikimedia.org/wikipedia/commons/f/f4/Cl%C3%A9ment_Novalak_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q86274904
Colton Herta,True,https://upload.wikimedia.org/wikipedia/commons/6/62/Colton_Herta_%282021%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:Wolkenjaeger&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:Wolkenjaeger (page does not exist)"">Wolkenjaeger</a>",wikidata_P18,Q21259182
Cian Shields,True,https://upload.wikimedia.org/wikipedia/commons/3/33/Cian_Shields_2023_Race_3_Red_Bull_Ring.jpg,CC BY 3.0,@EuroFormulaOpen via Youtube,wikidata_P18,Q123382916
Kush Maini,True,https://upload.wikimedia.org/wikipedia/commons/9/99/FIA_F3_Austria_2022_Nr._12_Maini.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108757598
Nicola Marinangeli,True,https://upload.wikimedia.org/wikipedia/commons/f/ff/FREC_2022_Spielberg_Nr._24_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q99237181
Tim Tramnitz,True,https://upload.wikimedia.org/wikipedia/commons/c/c8/FREC_2022_Spielberg_Nr._70_%281%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q111363917
Fernando Barrichello,True,https://upload.wikimedia.org/wikipedia/commons/6/66/Euroformula_Open_2024_Mogyor%C3%B3d_Podium_Race_1_%283%29_%28Fernando_Barrichello%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q130309809
Tasanapol Inthraphuvasak,True,https://upload.wikimedia.org/wikipedia/commons/8/81/Tasanapol_Inthraphuvasak_at_the_Melbourne_Walk_during_the_2026_Australian_Grand_Prix_%28028A8336%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Pangalau"" title=""User:Pangalau"">Yu Chu Chin</a>",wikidata_P18,Q116203428
Niels Koolen,True,https://upload.wikimedia.org/wikipedia/commons/a/ac/FREC_2023_Spielberg_Nr._68_%282%29_Koolen.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q123954006
Javier Sagrera,True,https://upload.wikimedia.org/wikipedia/commons/3/3c/Eurocup-3_2023_Spa_Javier_Sagrera.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q108554177
Nico Varrone,True,https://upload.wikimedia.org/wikipedia/commons/5/5a/Nico_Varrone_in_2023.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q112947069
Frederik Vesti,True,https://upload.wikimedia.org/wikipedia/commons/1/1e/Frederik_Vesti_Austria_2022.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/w/index.php?title=User:KVYTICAL&amp;action=edit&amp;redlink=1"" class=""new"" title=""User:KVYTICAL (page does not exist)"">KVYTICAL</a>",wikidata_P18,Q57315136
Tommy Smith,True,https://upload.wikimedia.org/wikipedia/commons/a/a0/Tommy_Smith_-_It_8.jpg,CC BY 3.0,"<a href=""https://en.wikipedia.org/wiki/User:Just-an-Ipswich-fan"" class=""extiw"" title=""en:User:Just-an-Ipswich-fan"">Just-an-Ipswich-fan</a> (<a href=""https://en.wikipedia.org/wiki/User_talk:Just-an-Ipswich-fan"" class=""extiw"" title=""en:User talk:Just-an-Ipswich-fan"">talk</a>)",wikidata_P18,Q462503
Théo Pourchaire,True,https://upload.wikimedia.org/wikipedia/commons/a/a8/Pourchaire_Podium_Oschersleben_ADAC_F4_2019-2_%28cropped%29.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:LoupDragon42"" title=""User:LoupDragon42"">LoupDragon42</a>",wikidata_P18,Q61766530
Dino Beganovic,True,https://upload.wikimedia.org/wikipedia/commons/1/14/FIA_F2_Austria_2025_Nr._8_Beganovic.jpg,CC BY-SA 4.0,"<a href=""//commons.wikimedia.org/wiki/User:Lukas_Raich"" title=""User:Lukas Raich"">Lukas Raich</a>",wikidata_P18,Q88223519
