Jahr,Runde,Grand Prix ID,Circuit ID,Gemeldet,Pre-Qualy,Qualy,Starter,Differenz Quali und Starter,,,Achtung Monaco 1958 Meldeliste zeigt dass die Daten nicht 100% ausgewertet wurden
1950,1,great-britain,silverstone,21,0,21,21,0,,,27 gemeldet??? es waren 30
1950,2,monaco,monaco,21,0,21,20,1,,,
1950,3,indianapolis,indianapolis,33,0,33,33,0,,,
1950,4,switzerland,bremgarten,18,0,18,18,0,,,
1950,5,belgium,spa-francorchamps,14,0,14,14,0,,,
1950,6,france,reims,19,0,19,19,0,,,
1950,7,italy,monza,27,0,27,27,0,,,
1951,1,switzerland,bremgarten,21,0,21,21,0,,,
1951,2,indianapolis,indianapolis,33,0,33,33,0,,,
1951,3,belgium,spa-francorchamps,13,0,13,13,0,,,
1951,4,france,reims,23,0,23,23,0,,,
1951,5,great-britain,silverstone,20,0,20,20,0,,,
1951,6,germany,nurburgring,22,0,22,22,0,,,
1951,7,italy,monza,22,0,22,22,0,,,
1951,8,spain,pedralbes,20,0,20,20,0,,,
1952,1,switzerland,bremgarten,22,0,22,22,0,,,
1952,2,indianapolis,indianapolis,33,0,33,33,0,,,
1952,3,belgium,spa-francorchamps,22,0,22,22,0,,,
1952,4,france,rouen,20,0,20,20,0,,,
1952,5,great-britain,silverstone,32,0,32,31,1,,,
1952,6,germany,nurburgring,30,0,30,30,0,,,
1952,7,netherlands,zandvoort,18,0,18,18,0,,,
1952,8,italy,monza,35,0,35,24,11,,,
1953,1,argentina,buenos-aires,16,0,16,16,0,,,
1953,2,indianapolis,indianapolis,33,0,33,33,0,,,
1953,3,netherlands,zandvoort,20,0,20,19,1,,,
1953,4,belgium,spa-francorchamps,22,0,22,20,2,,,
1953,5,france,reims,25,0,25,25,0,,,
1953,6,great-britain,silverstone,29,0,29,28,1,,,
1953,7,germany,nurburgring,35,0,35,34,1,,,
1953,8,switzerland,bremgarten,20,0,20,20,0,,,
1953,9,italy,monza,30,0,30,30,0,,,
1954,1,argentina,buenos-aires,18,0,18,18,0,,,
